signature,size,buggy_gen,state+fault,interval,commits,churn
org/gjt/sp/jedit/EditPlugin.java^414^436+org/gjt/sp/jedit/EditPlugin.java^481^503,23,False,I_N^I_N,W_N^M_N,76ae76b^635b44e^11f3613,9^6
org/gjt/sp/jedit/buffer/PositionManager.java^56^72+org/gjt/sp/jedit/buffer/PositionManager.java^75^95,21,False,I_N^I_N^I_N^I_N^I_N^I_N,YY_N^D_N^YY_N^M_N^YY_N^D_N,cb05216^e33e022^3172901^f2d9a01^cc6bdd5^0e97782^418f146,11^11^24^24^19^17
org/gjt/sp/jedit/gui/HistoryTextField.java^340^370+org/gjt/sp/jedit/gui/HistoryTextField.java^373^403,31,False,I_N,Y_N,6516bd1^7e940d0,62
org/gjt/sp/jedit/options/BrowserColorsOptionPane.java^315^341+org/gjt/sp/jedit/options/ColorOptionPane.java^272^298,27,False,I_N^I_N,Y_N^D_N,47406d9^d8033ef^faef8b3,4^4
org/gjt/sp/jedit/AbstractOptionPane.java^207^226+org/gjt/sp/jedit/options/EncodingsOptionPane.java^127^145,20,False,I_N,D_N,4fef81a^c770aa4,19
org/gjt/sp/jedit/gui/DockableWindowManager.java^148^173+org/gjt/sp/jedit/jEdit.java^2377^2402,26,True,I_N^I_N^I_Y^I_N^I_N^I_N^I_N^I_N^I_Y^I_N^I_N,D_N^D_N^M_Y^D_N^D_N^D_N^W_N^D_N^W_Y^D_N^W_N,0c1d1df^397c601^be2473e^da98322^6d4b022^4c443df^cc63268^2ff1b8b^56579cc^34d9300^fadbe32^b094287,9^34^28^32^5^5^12^10^6^4^17
org/gjt/sp/jedit/gui/FilteredListModel.java^159^173+org/gjt/sp/jedit/gui/FilteredTableModel.java^180^194,15,False,I_N,M_N,c955708^aaedfef,15
org/gjt/sp/jedit/io/VFS.java^823^840+org/gjt/sp/jedit/io/VFSFile.java^248^265,18,False,I_N^I_N,M_N^W_N,f977b18^82ca876^c351d77,15^5
org/gjt/sp/jedit/BeanShell.java^762^781+org/gjt/sp/jedit/bsh/classpath/ClassManagerImpl.java^490^504,20,False,I_N^I_N^I_N^I_N,Y_N^Y_N^YY_N^YY_N,e12da02^1f28c06^4f1294f^1657de9^294d90b,43^1^10^5
org/gjt/sp/jedit/ActionListHandler.java^124^148+org/gjt/sp/jedit/gui/DockableWindowManager.java^317^342,26,True,I_Y^I_N^I_N,W_Y^D_N^YY_N,0d0ef90^460782b^7e652b3^fa82ab7,3^23^52
org/gjt/sp/jedit/jEdit.java^647^663+org/gjt/sp/jedit/jEdit.java^666^682,17,False,I_N,M_N,bb01a62^5d1ef17,2
org/gjt/sp/jedit/browser/VFSDirectoryEntryTableModel.java^145^156+org/gjt/sp/jedit/options/BrowserColorsOptionPane.java^279^290,12,True,I_N^I_N^I_Y^I_N,D_N^D_N^D_Y^D_N,96cb596^8ea7e3a^956e00b^416fa8d^eb92f36,4^3^10^5
