signature,size,buggy_gen,state+fault,interval,commits,churn
proposal/sandbox/selectors/src/main/org/apache/tools/ant/types/PatternSet.java^478^492+src/main/org/apache/tools/ant/types/AbstractFileSet.java^394^409,16,True,I_Y^I_N,Y_Y^D_N,c885f56^88e1208^07e4efd,1^8
src/main/org/apache/tools/ant/types/FilterChain.java^401^417+src/main/org/apache/tools/ant/types/resources/Archives.java^183^195,17,False,I_N^I_N,D_N^M_N,1b76f1b^13f6d98^df33426,2^4
src/main/org/apache/tools/ant/types/PropertySet.java^535^552+src/main/org/apache/tools/ant/types/resources/Sort.java^139^150,18,False,I_N^I_N,W_N^YY_N,cbe9978^a738000^9caeed5,8^10
proposal/myrmidon/src/main/org/apache/tools/ant/types/Substitution.java^62^81+src/main/org/apache/tools/ant/types/Substitution.java^106^126,21,False,C_N,D_N,d1064de^b8c5034,4
proposal/myrmidon/src/test/org/apache/myrmidon/components/configurer/ConfigTestPrimConvert.java^32^45+proposal/myrmidon/src/testcases/org/apache/myrmidon/components/configurer/ConfigTestObjectProps.java^23^35,14,False,C_N,W_N,ed3fafb^22f32dc,2
proposal/myrmidon/src/todo/org/apache/tools/todo/taskdefs/manifest/Section.java^246^288+src/main/org/apache/tools/ant/taskdefs/Manifest.java^298^329,43,True,C_Y,W_Y,7fb3592^eca5133,20
proposal/myrmidon/src/main/org/apache/tools/ant/types/FileList.java^133^152+proposal/myrmidon/src/main/org/apache/tools/ant/types/Substitution.java^62^81,20,False,C_N,D_N,d1064de^b8c5034,8
proposal/myrmidon/src/todo/org/apache/tools/ant/taskdefs/rmic/RmicAdapterFactory.java^98^122+src/main/org/apache/tools/ant/taskdefs/optional/jsp/compilers/CompilerAdapterFactory.java^107^123,25,False,I_N,D_N,d1064de^b8c5034,12
proposal/myrmidon/src/main/org/apache/tools/ant/types/FileSet.java^359^379+proposal/myrmidon/src/todo/org/apache/tools/ant/taskdefs/text/Substitution.java^67^87,21,False,I_N,W_N,372c76b^ce6c8d7,21
src/main/org/apache/tools/ant/types/resources/ArchiveResource.java^280^292+src/main/org/apache/tools/ant/types/resources/comparators/DelegatedResourceComparator.java^105^124,20,False,I_N,YY_N,2e7eacb^9caeed5,13
proposal/myrmidon/src/main/org/apache/tools/ant/taskdefs/condition/And.java^26^39+proposal/myrmidon/src/todo/org/apache/tools/ant/taskdefs/condition/And.java^26^39,14,False,I_N,M_N,5f6832b^401cfef,12
proposal/myrmidon/src/main/org/apache/tools/ant/taskdefs/Unpack.java^67^95+src/main/org/apache/tools/ant/taskdefs/Unpack.java^105^126,29,True,I_N^I_Y^I_N,M_N^W_Y^M_N,e741c1f^0320691^1620dd5^e094f08,8^8^34
proposal/myrmidon/src/todo/org/apache/tools/ant/taskdefs/optional/ejb/GenericDeploymentTool.java^599^658+src/main/org/apache/tools/ant/taskdefs/optional/ejb/GenericDeploymentTool.java^772^823,60,False,I_N,W_N,0fb624e^36a0800,3
proposal/myrmidon/src/main/org/apache/tools/ant/taskdefs/manifest/Section.java^244^286+src/main/org/apache/tools/ant/taskdefs/Manifest.java^296^327,43,False,C_N,W_N,6518cd2^78a7fbf,4
proposal/myrmidon/src/main/org/apache/tools/ant/taskdefs/War.java^92^118+src/main/org/apache/tools/ant/taskdefs/War.java^136^154,27,False,I_N,W_N,9f2aca5^0a07be8,12
proposal/myrmidon/src/todo/org/apache/tools/ant/taskdefs/optional/junit/JUnitTask.java^447^476+src/main/org/apache/tools/ant/taskdefs/optional/junit/JUnitTask.java^744^765,30,False,I_N,M_N,cda31f0^71aa092,8
proposal/myrmidon/src/main/org/apache/tools/ant/types/EnvironmentData.java^27^40+proposal/myrmidon/src/todo/org/apache/tools/ant/types/EnvironmentData.java^27^40,14,False,C_N^C_N,D_N^D_N,5595675^9c6b288^11adb2a,32^4
