signature,size,buggy_gen,state+fault,interval,commits,churn
maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^130^159+maven-core/src/test/java/org/apache/maven/project/DefaultProjectDefaultsInjectorTest.java^173^201,30,False,C_Y^C_Y,W_Y^M_Y,da47c49^6503a19^4465e49,102^12
maven-plugins/maven-deploy-plugin/src/main/java/org/apache/maven/plugin/deploy/AbstractDeployMojo.java^46^78+maven-plugins/maven-jar-plugin/src/main/java/org/apache/maven/plugin/jar/JarDeployMojo.java^59^94,36,True,C_N^C_Y^C_Y^I_Y^I_N^I_Y^C_Y,D_N^M_Y^D_Y^W_Y^D_N^W_Y^D_Y,039c3c0^b44af08^7f6f445^a44b6f9^4d1ca8d^e9a9323^8e9ec9c^590e952,5^44^17^11^4^2^56
maven-plugins/maven-install-plugin/src/main/java/org/apache/maven/plugin/install/AbstractInstallMojo.java^43^60+maven-plugins/maven-pom-plugin/src/main/java/org/apache/maven/plugin/pom/PomInstallMojo.java^60^76,18,True,C_Y^C_Y,M_Y^D_Y,b44af08^1fe8c76^a44b6f9,4^6
maven-core-it-verifier/src/main/java/org/apache/maven/it/Verifier.java^285^311+maven-plugin-tools/maven-plugin-tools-api/src/main/java/org/apache/maven/tools/plugin/generator/BeanGenerator.java^167^188,27,True,C_N^I_Y,M_N^M_Y,9800271^b748d06^b48dce7,2^27
maven-core/src/test/java/org/apache/maven/project/injection/DefaultModelDefaultsInjectorTest.java^76^97+maven-core/src/test/java/org/apache/maven/project/injection/DefaultModelDefaultsInjectorTest.java^137^163,27,False,I_Y,M_Y,fd8d091^a44b6f9,9
maven-core/src/test/java/org/apache/maven/project/injection/DefaultModelDefaultsInjectorTest.java^76^97+maven-core/src/test/java/org/apache/maven/project/injection/DefaultModelDefaultsInjectorTest.java^178^203,26,False,I_Y,M_Y,fd8d091^a44b6f9,10
maven-core/src/test/java/org/apache/maven/project/injection/DefaultModelDefaultsInjectorTest.java^76^97+maven-core/src/test/java/org/apache/maven/project/injection/DefaultModelDefaultsInjectorTest.java^246^267,22,False,C_N,M_N,fd8d091^8c6292c,6
maven-core/src/test/java/org/apache/maven/project/injection/DefaultModelDefaultsInjectorTest.java^137^163+maven-core/src/test/java/org/apache/maven/project/injection/DefaultModelDefaultsInjectorTest.java^178^203,27,False,C_Y,M_Y,fd8d091^a44b6f9,19
maven-core/src/test/java/org/apache/maven/project/injection/DefaultModelDefaultsInjectorTest.java^137^163+maven-core/src/test/java/org/apache/maven/project/injection/DefaultModelDefaultsInjectorTest.java^246^267,27,False,C_N^I_Y,M_N^W_Y,fd8d091^8c6292c^a44b6f9,6^9
maven-core/src/test/java/org/apache/maven/project/injection/DefaultModelDefaultsInjectorTest.java^178^203+maven-core/src/test/java/org/apache/maven/project/injection/DefaultModelDefaultsInjectorTest.java^246^267,26,False,C_N^I_Y,M_N^W_Y,fd8d091^8c6292c^a44b6f9,6^10
maven-core/src/test/java/org/apache/maven/project/injection/DefaultModelDefaultsInjectorTest.java^45^67+maven-core/src/test/java/org/apache/maven/project/injection/DefaultModelDefaultsInjectorTest.java^246^267,23,False,C_N,M_N,fd8d091^8c6292c,8
maven-core/src/test/java/org/apache/maven/project/injection/DefaultModelDefaultsInjectorTest.java^107^127+maven-core/src/test/java/org/apache/maven/project/injection/DefaultModelDefaultsInjectorTest.java^214^235,22,False,C_N,M_N,fd8d091^8c6292c,4
maven-core/src/test/java/org/apache/maven/project/injection/DefaultModelDefaultsInjectorTest.java^137^164+maven-core/src/test/java/org/apache/maven/project/injection/DefaultModelDefaultsInjectorTest.java^178^204,28,False,I_Y,M_Y,fd8d091^a44b6f9,19
maven-core/src/test/java/org/apache/maven/project/injection/DefaultModelDefaultsInjectorTest.java^166^203+maven-core/src/test/java/org/apache/maven/project/injection/DefaultModelDefaultsInjectorTest.java^206^235,38,False,C_N^I_Y,M_N^W_Y,fd8d091^8c6292c^a44b6f9,6^13
